Year,GDP_M,GDP_S,GDP_N,DDP_U
2001,1339.294067,39727.84667,590.381815,37133.62311
2002,1416.488403,42578.76314,741.7474939,37997.75966
2003,1725.45752,49470.39713,795.3862287,39490.27496
2004,1952.902588,54878.471,1007.874342,41724.63163
2005,2018.025513,56546.78566,1268.383462,44123.40707
2006,2196.01123,59300.61722,1656.424794,46302.00088
2007,2499.26001,65359.51922,1883.461388,48050.22378
2008,2890.360596,74572.23237,2259.114059,48570.04598
2009,2866.924072,72083.1677,1911.607866,47194.94335
2010,2839.926025,77117.12601,2280.437337,48650.64313
2011,3046.947754,91254.03476,2487.598017,50065.9665
